,OMA Sum rate,Architecture Sum rate,Baseline Sum rate,Fixed NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Baseline NOMA Pairs,Fixed NOMA Outage
45,353.64201234763823,507.6265470250853,507.6265470250853,378.1537776466357,2,12,12,10
46,353.64201234763823,507.6265470250853,507.6265470250853,378.1537776466357,2,12,12,10
47,265.75096823645146,446.8956617781988,450.1739319908615,414.2558816799403,5,15,15,10
48,284.70718545952,446.8419128873072,455.3596591132894,357.3548691200221,6,17,17,11
49,284.70718545952,446.8419128873072,455.3596591132894,357.3548691200221,6,17,17,11
50,284.70718545952,446.8419128873072,455.3596591132894,357.3548691200221,6,17,17,11
51,284.70718545952,446.8419128873072,455.3596591132894,357.3548691200221,6,17,17,11
52,315.2281800985941,497.28795787115047,500.2679200600818,356.15795154091484,3,16,16,13
53,315.2281800985941,497.28795787115047,500.2679200600818,356.15795154091484,3,16,16,13
54,229.76310086185032,437.2226530411442,442.76236020732586,379.1430539606567,8,18,19,11
55,256.5820864459985,453.6609801123066,456.5058323303436,331.4029749089808,3,15,15,12
56,314.16831530047256,506.8483169800237,510.98110659033716,431.1959003475768,4,15,14,10
57,295.3849822663911,485.46506996569036,500.1108420953187,318.5838354562061,3,16,18,15
58,351.8561457174277,472.8544441183311,474.60104501165904,417.1648094903984,4,14,14,10
59,351.8561457174277,472.8544441183311,474.60104501165904,417.1648094903984,4,14,14,10
60,351.8561457174277,472.8544441183311,474.60104501165904,417.1648094903984,4,14,14,10
61,351.8561457174277,472.8544441183311,474.60104501165904,417.1648094903984,4,14,14,10
62,280.86700588017817,444.23019704374565,445.1971337360537,363.42460434199904,3,14,14,11
63,300.17571542353403,440.54105695402285,443.76639990268484,346.4342202829008,4,14,13,9
64,300.17571542353403,440.54105695402285,443.76639990268484,346.4342202829008,4,14,13,9
65,327.69110061966757,460.57940060278304,460.57940060278304,349.21210589073553,2,13,13,11
66,303.7752838290171,443.5745118287389,443.5745118287389,360.88007301072344,3,13,13,10
67,273.6895971739849,481.8281546973188,485.47057945128347,341.21243646361984,7,18,18,11
68,273.6895971739849,481.8281546973188,485.47057945128347,341.21243646361984,7,18,18,11
69,273.6895971739849,481.8281546973188,485.47057945128347,341.21243646361984,7,18,18,11
70,299.94849279922323,443.672760962251,451.6738083983721,342.90844074212885,3,12,14,11
71,266.7999519815233,455.809645321702,458.5034556851504,464.1262272595682,5,16,16,11
72,266.7999519815233,455.809645321702,458.5034556851504,464.1262272595682,5,16,16,11
73,266.7999519815233,455.809645321702,458.5034556851504,464.1262272595682,5,16,16,11
74,266.7999519815233,455.809645321702,458.5034556851504,464.1262272595682,5,16,16,11
75,292.8206663599274,463.3035730056332,472.58689734474444,394.1735398367808,4,14,15,11
76,272.2423572599989,463.9000416476687,469.00109114479756,308.03377132273033,3,16,16,13
77,272.2423572599989,463.9000416476687,469.00109114479756,308.03377132273033,3,16,16,13
78,231.13952135060129,443.3848885084298,452.990929509782,346.6598877024437,8,17,17,9
79,287.98913613803546,469.87205357961955,469.87205357961955,318.0783349984509,4,14,14,10
80,314.3879470923746,449.88180488529775,453.4915084251594,367.3289831268061,3,17,16,13
81,302.2444080022358,438.00884378023954,443.8535221510667,394.66829843412836,4,14,14,10
82,295.10583388933566,478.82628734645505,480.9146886448247,338.6624105710113,3,13,14,11
83,295.10583388933566,478.82628734645505,480.9146886448247,338.6624105710113,3,13,14,11
84,286.5372440399539,452.24737926062943,454.7464125103277,348.75486121242113,5,15,15,10
85,282.89339299066603,445.1556882006751,448.20871143703613,401.23489444635027,6,16,16,10
86,282.89339299066603,445.1556882006751,448.20871143703613,401.23489444635027,6,16,16,10
87,253.32078782665565,427.54229509380673,430.3760830919756,305.9362723256963,4,15,15,11
88,253.32078782665565,427.54229509380673,430.3760830919756,305.9362723256963,4,15,15,11
89,266.4152089870674,441.3726055884791,449.0115072844589,373.193186562822,4,17,17,13
90,266.4152089870674,441.3726055884791,449.0115072844589,373.193186562822,4,17,17,13
91,313.6691148414995,473.8202335013233,480.4287111755076,386.25605163126085,5,13,14,9
92,313.6691148414995,473.8202335013233,480.4287111755076,386.25605163126085,5,13,14,9
93,313.6691148414995,473.8202335013233,480.4287111755076,386.25605163126085,5,13,14,9
94,295.6133880914664,483.3523621841864,484.92492492241803,390.9367736513175,3,16,17,14
95,295.6133880914664,483.3523621841864,484.92492492241803,390.9367736513175,3,16,17,14
96,260.6970588950217,464.89154639601526,469.46562190963374,291.6635460613921,2,16,18,16
97,304.5479661077252,436.6859886341956,437.6859886341956,405.46595620802196,3,14,14,11
98,304.5479661077252,436.6859886341956,437.6859886341956,405.46595620802196,3,14,14,11
99,282.059210288348,387.9013866284175,387.9013866284175,426.51058994008,4,8,8,4
100,282.059210288348,387.9013866284175,387.9013866284175,426.51058994008,4,8,8,4
101,319.0352363337057,489.19953147569737,492.2871427284176,456.5295896606129,5,13,14,9
102,319.0352363337057,489.19953147569737,492.2871427284176,456.5295896606129,5,13,14,9
103,319.0352363337057,489.19953147569737,492.2871427284176,456.5295896606129,5,13,14,9
104,332.82067011221034,493.5154814343325,495.33090708381155,439.12000040983065,6,15,15,9
105,332.82067011221034,493.5154814343325,495.33090708381155,439.12000040983065,6,15,15,9
106,332.82067011221034,493.5154814343325,495.33090708381155,439.12000040983065,6,15,15,9
107,295.1966173903488,453.5041848502826,458.5184667989464,337.4327596087856,3,15,15,12
108,225.59067415614726,424.04296405771265,436.5055351053128,228.89532471070348,2,17,19,17
109,225.59067415614726,424.04296405771265,436.5055351053128,228.89532471070348,2,17,19,17
110,222.01721775467587,436.8342991008818,444.14238630475296,364.4890740417957,5,18,18,13
111,222.01721775467587,436.8342991008818,444.14238630475296,364.4890740417957,5,18,18,13
112,366.64505371071823,489.4101016289233,496.3895664251932,400.3390283816141,2,12,13,11
113,366.64505371071823,489.4101016289233,496.3895664251932,400.3390283816141,2,12,13,11
114,366.64505371071823,489.4101016289233,496.3895664251932,400.3390283816141,2,12,13,11
115,268.5136230344249,468.8407438498704,470.78159661455754,306.0856473004194,1,16,16,15
0,301.2169355210626,432.2473944875823,433.89961058097936,314.16419129301255,3,13,13,10
1,301.2169355210626,432.2473944875823,433.89961058097936,314.16419129301255,3,13,13,10
2,223.62119981414878,332.43926790187345,332.43926790187345,297.21422222715745,4,14,14,10
3,218.0743078145526,355.33552845914494,355.33552845914494,240.90258389305595,3,17,17,14
4,227.2675336880006,384.63845061477946,386.0814554062908,251.27278373048588,5,13,13,8
5,254.00820675620997,341.3809766314922,342.7003830905817,365.2371296706071,7,10,11,4
6,268.1216936293424,354.78511496758097,357.35576814042946,307.7502986207825,5,14,13,8
7,249.74910973319928,344.54455585198025,344.69687485166423,337.6853728950912,5,13,13,8
8,265.26622036465835,330.08819904247224,330.08819904247224,361.18244049004636,4,10,10,6
9,230.82379925453796,329.10778698902374,332.918692832168,387.07135993019045,7,14,14,7
10,230.82379925453796,329.10778698902374,332.918692832168,387.07135993019045,7,14,14,7
11,259.836664471204,358.57211009282264,359.3310032997121,370.60472837186455,4,15,15,11
12,289.686715993174,347.1539265223814,347.7953332981991,414.62764199458917,5,14,13,8
13,220.73881813851577,322.89635390388935,324.3086079486028,238.35136423920426,4,14,14,10
14,220.73881813851577,322.89635390388935,324.3086079486028,238.35136423920426,4,14,14,10
15,247.5714162269426,374.32413441708024,374.32413441708024,378.1786559090698,4,10,10,6
16,296.99682163972653,350.83937237084865,350.83937237084865,327.67025483060326,1,11,11,10
17,276.527845396688,386.6407441897772,386.6407441897772,309.7672684067697,1,11,11,10
18,208.33992328901002,367.17188184848976,370.40543722801175,323.0485532880173,6,17,16,10
19,208.33992328901002,367.17188184848976,370.40543722801175,323.0485532880173,6,17,16,10
20,211.52108839043623,361.8354950899288,371.3495456944702,240.00871913373766,5,16,18,13
21,211.52108839043623,361.8354950899288,371.3495456944702,240.00871913373766,5,16,18,13
22,308.1536315981594,401.4682539341704,401.4682539341704,308.1536315981594,0,10,10,10
23,230.69527933077995,407.4543123998658,409.69713480338214,282.7882664537168,6,17,17,11
24,230.69527933077995,407.4543123998658,409.69713480338214,282.7882664537168,6,17,17,11
25,266.43014354586285,400.3056501080886,400.3056501080886,305.15982290779044,3,14,14,11
26,266.43014354586285,400.3056501080886,400.3056501080886,305.15982290779044,3,14,14,11
27,229.1012374799273,364.05246661536455,366.15104046641386,284.5260775088808,5,15,15,10
28,216.17882000997267,379.35214545678645,380.74458583298065,281.4810686715918,6,15,16,10
29,236.59220214740628,364.0341747581949,364.57884311243487,244.70076495508908,3,15,16,13
30,271.8163674421983,380.8096869320426,380.8096869320426,271.389587291545,1,13,13,12
