,OMA Sum rate,Architecture Sum rate,Fixed NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Fixed NOMA Outage
64,44.25143943305297,77.87705690502638,63.50765997174014,1,2,1
65,53.90200560816555,73.36235383178277,53.90200560816555,0,2,2
66,51.8695615833835,67.95674789262937,51.8695615833835,0,1,1
67,51.8695615833835,67.95674789262937,51.8695615833835,0,1,1
68,64.35677367872586,64.70874731889442,64.35677367872586,0,1,1
69,44.28514173175574,61.610212577636425,44.285141731755736,0,1,1
70,44.28514173175574,61.610212577636425,44.285141731755736,0,1,1
71,46.12813480979827,76.29074771737511,64.85033892627398,1,2,1
72,71.88704074493816,113.52244683520898,87.52064436158284,1,4,3
73,71.88704074493816,113.52244683520898,87.52064436158284,1,4,3
74,30.612009688379665,46.92005958329958,30.612009688379665,0,1,1
75,27.551283149227118,27.551283149227118,27.55128314922712,0,0,0
76,40.361663308364896,41.70437879854242,40.361663308364896,0,1,1
77,67.25294188085827,90.26123962123177,83.62436260658488,1,2,1
78,66.34194728065472,88.32707403213212,93.3779513918532,1,2,1
79,66.34194728065472,88.32707403213212,93.3779513918532,1,2,1
80,54.498746637789736,59.841157794045834,78.49900416838642,2,4,2
81,68.75200845377833,90.46634424245896,68.75200845377833,0,2,2
82,75.48048956165924,97.19482535033987,75.48048956165924,0,2,2
83,36.9602670549241,43.82280284023784,42.146034206741774,1,1,0
84,24.411393378352173,70.30942234620063,75.55933162275032,3,3,0
85,24.411393378352173,70.30942234620063,75.55933162275032,3,3,0
86,66.99515354139439,87.90135479861937,77.45368611591529,1,2,1
87,60.274109694846075,84.8307678835342,60.274109694846075,0,3,3
88,47.38038139860091,79.66045970133922,78.28760165452161,1,2,1
89,32.68954666021422,40.033810767137645,43.079383446330624,1,1,0
90,32.68954666021422,50.711658470983934,50.29831204723372,1,1,0
91,67.22392820958444,67.22392820958444,67.22392820958444,0,0,0
92,67.22392820958444,67.22392820958444,67.22392820958444,0,0,0
93,79.55917947467616,86.45789831040925,79.55917947467616,0,1,1
94,82.94192401839356,97.48994580506167,82.94192401839356,0,1,1
95,29.69450437428273,60.0225817266071,65.12182367716527,3,3,0
96,29.69450437428273,60.0225817266071,65.12182367716527,3,3,0
97,65.97389075766819,85.89226174898184,91.06667790369067,2,3,1
98,59.972445737370535,87.45459839293069,86.12737174700901,1,3,2
99,59.972445737370535,87.45459839293069,86.12737174700901,1,3,2
100,26.21912762474031,38.72054920614053,44.546636612577416,2,2,0
